State,Area,2018-Total,2019-Total,2020-Total,2018-Mining and Logging,2019-Mining and Logging,2020-Mining and Logging,2018-Construction,2019-Construction,2020-Construction,2018-Manufacturing,2019-Manufacturing,2020-Manufacturing,"2018-Trade, transportation, and utilities","2019-Trade, transportation, and utilities","2020-Trade, transportation, and utilities",2018-Information,2019-Information,2020-Information,2018-Financial activities,2019-Financial activities,2020-Financial activities,2018-Professional and business services,2019-Professional and business services,2020-Professional and business services,2018-Education and health services,2019-Education and health services,2020-Education and health services,2018-Leisure and hospitality,2019-Leisure and hospitality,2020-Leisure and hospitality,2018-Other services,2019-Other services,2020-Other services,2018-Government,2019-Government,2020-Government
Florida,Deltona-Daytona Beach-Ormond Beach(1),204.1,206.2,198.6,–,–,–,13.8,14.2,14.2,11.8,11.4,10.7,38.7,38.9,38.1,2.4,2.4,2.0,8.5,8.7,9.0,23.2,23.4,23.5,39.8,40.7,39.6,33.0,32.9,27.8,9.0,8.9,8.1,24.0,24.9,25.7
Florida,Gainesville(1),145.5,148.0,141.9,–,–,–,5.9,6.0,6.1,4.7,4.8,4.5,21.2,21.0,20.2,1.6,1.8,1.6,6.8,6.9,6.9,14.9,15.4,15.3,26.4,27.5,27.1,16.0,16.1,13.2,4.4,4.3,3.9,43.6,44.0,43.3
Florida,Homosassa Springs(2),33.3,33.3,31.9,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.3,4.4,4.3
Florida,Jacksonville,709.1,724.1,704.3,0.5,0.5,0.4,44.6,46.0,46.0,31.4,32.6,32.5,151.6,157.1,153.7,9.3,9.0,9.0,67.2,67.1,68.0,108.1,110.0,108.9,107.5,110.3,109.9,85.7,86.9,73.6,26.4,27.0,25.0,76.8,77.7,77.5
Florida,Lakeland-Winter Haven(1),227.9,235.7,237.4,–,–,–,13.7,14.3,15.0,17.6,18.0,17.9,58.2,61.3,65.3,2.0,1.9,1.8,12.6,13.3,14.1,31.3,32.5,32.5,33.7,34.5,34.7,24.1,24.6,21.2,6.3,6.6,6.3,28.5,28.6,28.7
Florida,Miami-Fort Lauderdale-West Palm Beach,2681.6,2725.2,2540.5,0.7,0.7,0.8,138.0,142.3,138.9,89.8,91.5,87.6,608.9,615.2,577.6,51.0,51.0,47.1,184.7,189.8,187.7,444.3,452.0,434.8,400.6,411.6,396.6,328.0,334.0,256.4,122.4,120.8,106.2,313.3,316.5,306.9
Florida,Naples-Immokalee-Marco Island(1),151.0,155.6,148.4,–,–,–,17.2,17.7,17.3,4.3,4.7,4.9,28.6,29.2,28.2,1.4,1.4,1.3,8.4,8.8,8.6,16.7,17.3,17.3,22.3,23.1,23.0,29.1,30.0,25.4,9.2,9.2,8.5,13.9,14.3,13.9
Florida,North Port-Sarasota-Bradenton(1),308.9,314.3,299.2,–,–,–,25.4,26.4,26.6,16.8,17.1,16.2,59.5,60.0,57.7,3.4,3.5,3.5,14.8,15.4,15.5,47.4,46.2,43.0,54.5,56.3,55.3,44.9,46.1,39.3,14.2,14.8,14.0,28.0,28.5,28.2
Florida,Ocala(1),105.7,108.3,105.8,–,–,–,7.8,8.5,8.6,8.6,9.3,9.5,25.4,26.1,26.2,0.8,0.6,0.5,3.9,3.9,3.8,9.5,9.5,9.8,18.8,18.8,18.3,13.1,13.5,11.7,2.9,3.0,2.8,14.9,15.3,14.7
Florida,Orlando-Kissimmee-Sanford,1293.4,1327.3,1198.8,0.2,0.3,0.2,82.0,85.9,83.0,46.6,49.3,48.3,239.5,242.8,228.1,25.3,25.6,24.4,76.1,78.3,76.8,229.8,235.9,217.1,155.5,160.7,157.0,266.6,276.2,197.9,44.3,44.8,39.6,127.6,127.6,126.3
Florida,Palm Bay-Melbourne-Titusville(1),224.5,231.7,224.8,–,–,–,14.9,15.4,16.1,25.8,27.4,28.8,37.8,38.2,37.0,2.6,2.4,1.9,8.6,8.6,8.8,33.1,35.2,36.5,36.9,38.3,35.2,27.9,28.6,24.2,8.9,9.0,8.1,28.2,28.4,28.3
Florida,Panama City(1),83.9,80.7,78.3,–,–,–,5.5,6.9,7.0,3.1,3.0,3.2,16.1,15.7,15.8,0.9,0.8,0.6,4.6,4.5,4.7,10.9,11.1,10.0,11.5,9.6,9.5,14.3,12.9,11.8,2.8,2.7,2.6,14.2,13.5,13.2
Florida,Pensacola-Ferry Pass-Brent(1),181.2,185.9,181.8,–,–,–,11.7,12.2,11.9,6.5,7.1,6.9,33.6,33.8,33.6,1.8,1.7,1.5,14.0,14.9,15.2,24.3,24.4,24.6,30.1,31.0,30.6,24.6,25.8,22.9,6.3,6.6,6.4,28.4,28.6,28.3
Florida,Port St. Lucie(1),151.2,155.6,151.1,–,–,–,11.3,12.0,12.2,7.0,7.5,7.4,31.2,31.0,30.7,1.2,1.2,1.1,5.5,5.9,5.9,19.2,20.7,21.5,27.5,28.6,27.7,20.5,20.9,17.9,8.2,8.0,7.4,19.6,19.8,19.1
Florida,Punta Gorda(1),48.8,50.0,48.3,–,–,–,4.2,4.3,4.4,0.8,0.8,0.8,11.5,11.7,11.6,0.4,0.4,0.3,2.2,2.3,2.2,4.2,4.4,4.5,9.6,10.0,9.5,7.7,7.8,6.7,2.1,2.2,2.3,6.0,6.2,6.0
Florida,Sebastian-Vero Beach(1),53.5,54.4,52.0,–,–,–,4.3,4.5,4.4,2.2,2.3,2.2,10.8,10.6,10.4,0.6,0.6,0.5,2.7,2.8,2.7,6.2,6.5,6.2,10.5,10.9,10.8,8.1,8.3,7.1,2.9,2.8,2.7,5.3,5.3,5.2
Florida,Sebring(2),26.2,26.2,24.9,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.3,4.3,4.2
Florida,Tallahassee(1),183.7,186.6,178.7,–,–,–,8.0,8.8,8.3,3.2,3.4,3.4,24.5,24.6,23.5,3.1,3.1,3.1,7.9,7.8,7.5,21.6,22.3,22.5,24.0,24.8,24.4,20.4,20.9,16.6,9.4,9.0,8.8,61.6,62.1,60.6
Florida,Tampa-St. Petersburg-Clearwater,1352.1,1385.6,1341.2,0.3,0.3,0.3,78.0,81.6,83.2,67.3,69.0,67.0,249.3,252.6,248.5,25.6,25.6,24.2,116.9,121.7,124.0,241.8,248.6,248.0,211.0,218.7,213.0,159.0,162.8,134.0,46.8,47.5,43.9,156.2,157.3,155.1
Florida,The Villages(2),30.0,31.9,31.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,5.1,5.2,5.2
Georgia,Total,4535.7,4619.9,4406.5,9.5,9.5,9.5,195.5,204.7,201.2,404.5,406.1,385.3,931.3,946.7,922.6,115.9,118.1,109.6,245.8,250.4,250.7,705.2,720.2,694.1,588.2,606.6,587.7,489.3,500.8,415.2,160.4,165.8,150.4,690.0,691.1,680.2
Georgia,Albany(2),62.2,62.8,60.0,–,–,–,–,–,–,–,–,–,12.4,12.6,12.2,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,12.3,12.3,11.9
Georgia,Athens-Clarke County(2),98.3,97.8,92.1,–,–,–,–,–,–,–,–,–,16.5,16.5,15.7,–,–,–,–,–,–,8.7,8.7,8.3,–,–,–,11.1,11.5,9.4,–,–,–,29.6,28.6,27.7
Georgia,Atlanta-Sandy Springs-Roswell,2785.9,2850.4,2699.7,1.6,1.6,1.6,125.3,130.5,127.8,168.7,171.7,163.7,592.7,605.2,581.9,100.2,102.2,96.1,173.1,177.4,178.7,535.4,548.2,526.3,356.5,369.0,355.4,297.6,304.7,243.2,100.8,104.6,94.0,333.9,335.4,330.9
Georgia,Augusta-Richmond County(1),239.6,243.3,234.8,–,–,–,18.7,20.1,19.9,22.0,23.1,22.5,40.0,40.5,40.0,2.5,2.4,2.2,6.5,6.8,6.4,33.9,32.9,32.0,34.0,35.4,34.7,26.8,27.4,23.4,8.3,8.7,8.0,46.8,45.9,45.6
Georgia,Brunswick(2),44.1,44.0,41.7,–,–,–,–,–,–,–,–,–,8.8,8.4,8.4,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,8.6,8.8,8.6
Georgia,Columbus(1),122.2,122.5,117.5,–,–,–,4.7,4.8,4.8,11.1,10.9,10.5,18.1,17.7,17.3,1.3,1.3,1.1,13.2,12.9,12.4,14.6,15.0,14.7,15.7,16.1,15.7,14.8,15.1,13.3,4.3,4.3,3.9,24.5,24.3,23.7
Georgia,Dalton(2),67.7,66.6,63.7,–,–,–,–,–,–,24.9,23.8,21.7,13.8,13.5,13.3,–,–,–,–,–,–,6.8,6.7,6.9,–,–,–,–,–,–,–,–,–,6.9,7.0,7.0
Georgia,Gainesville(2),92.3,93.9,92.0,–,–,–,–,–,–,–,–,–,17.2,17.6,17.6,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,10.7,10.8,10.7
Georgia,Hinesville(2),20.7,21.2,20.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,7.9,7.9,7.9
Georgia,Macon-Bibb County(2),102.8,102.9,98.2,–,–,–,–,–,–,–,–,–,19.9,19.5,18.8,–,–,–,10.1,9.8,9.7,11.9,12.1,11.2,21.5,21.7,20.9,10.3,10.6,9.5,–,–,–,14.6,14.8,14.2
Georgia,Rome(2),41.6,41.8,39.9,–,–,–,–,–,–,6.5,6.2,5.9,7.7,7.7,7.5,–,–,–,–,–,–,–,–,–,10.5,10.7,10.7,–,–,–,–,–,–,5.8,5.7,5.6
Georgia,Savannah(1),185.8,189.9,180.5,–,–,–,8.4,8.2,8.4,18.3,18.7,17.5,42.7,43.4,42.9,1.8,2.8,1.8,6.2,6.4,6.1,23.4,24.2,23.9,26.5,26.7,26.0,26.6,27.1,22.5,7.4,7.6,7.0,24.6,24.8,24.6
Georgia,Valdosta(2),56.1,56.6,55.0,–,–,–,–,–,–,–,–,–,12.4,12.8,13.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,13.2,13.2,12.8
Georgia,Warner Robins(2),75.6,78.1,76.0,–,–,–,–,–,–,–,–,–,11.0,11.2,11.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,27.6,28.1,27.9
Hawaii(1),Total,658.3,658.5,557.1,–,–,–,37.3,37.3,36.0,14.5,14.0,11.9,124.5,125.3,104.5,9.3,8.8,7.2,29.6,29.9,27.3,74.3,74.4,66.1,87.2,87.3,82.3,127.3,126.8,77.9,28.7,28.5,23.3,125.6,126.2,120.8
Hawaii(1),Kahului-Wailuku-Lahaina(1),80.5,80.7,60.8,–,–,–,4.4,4.4,4.2,1.1,1.2,1.0,16.2,16.4,12.9,0.6,0.6,0.4,3.1,3.1,2.4,7.6,7.4,5.5,9.1,9.3,8.8,25.9,25.7,14.2,3.4,3.4,2.7,9.2,9.2,8.8
Hawaii(1),Urban Honolulu(1),473.3,473.9,409.8,–,–,–,27.0,27.0,26.2,11.5,11.0,9.3,87.2,87.9,73.3,7.8,7.4,6.0,22.7,23.0,21.7,56.7,57.3,52.3,65.8,65.6,61.9,75.7,76.0,48.6,21.9,21.7,17.7,97.0,97.1,92.7
Idaho,Total,738.5,760.2,755.1,3.6,3.7,3.7,49.1,52.9,55.8,68.4,69.0,68.2,142.4,144.9,146.4,8.3,8.1,7.4,36.0,36.8,37.5,94.7,97.1,99.0,106.1,111.4,111.5,79.3,83.1,75.8,25.6,26.6,25.5,125.2,126.6,124.3
Idaho,Boise City(1),332.2,345.3,343.8,–,–,–,24.4,26.6,28.6,29.2,29.3,28.5,63.3,65.7,66.6,4.1,3.9,3.6,18.5,19.4,20.3,50.1,51.7,52.9,48.5,51.7,51.8,34.6,36.2,32.0,11.8,12.6,12.1,47.8,48.4,47.5
Idaho,Coeur d'Alene,65.5,67.6,67.3,0.2,0.2,0.2,5.4,5.9,6.1,4.8,5.2,5.0,12.2,12.5,12.7,0.7,0.6,0.6,3.9,3.8,3.9,7.0,7.1,7.3,8.4,8.6,8.5,9.3,9.8,9.2,2.3,2.2,2.1,11.5,11.7,11.7
Idaho,Idaho Falls(1),67.8,70.2,71.2,–,–,–,4.2,4.5,4.6,4.5,4.6,4.8,14.3,14.2,14.3,0.8,0.7,0.6,2.6,2.6,2.6,14.2,14.9,15.5,10.4,11.2,12.0,6.6,6.8,6.4,2.1,2.1,2.1,8.3,8.5,8.4
Idaho,Lewiston,28.5,28.5,28.0,0.2,0.2,0.2,1.5,1.6,1.6,4.2,3.8,4.0,5.1,5.1,5.2,0.4,0.4,0.4,1.5,1.5,1.5,1.4,1.4,1.4,5.4,5.5,5.3,2.7,2.8,2.6,0.9,0.9,0.9,5.3,5.3,5.1
Idaho,Pocatello(1),36.5,37.3,36.8,–,–,–,1.7,1.9,1.9,2.2,2.3,2.3,6.9,6.8,6.8,0.3,0.3,0.2,1.6,1.6,1.6,4.6,4.5,4.4,6.1,6.3,6.4,3.9,4.2,3.9,1.1,1.2,1.1,8.1,8.2,8.3
Idaho,Twin Falls(2),46.5,47.2,46.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,6.4,6.5,6.2
Illinois,Total,6101.7,6124.6,5690.4,7.9,8.3,6.8,226.1,228.1,216.5,587.2,586.1,554.2,1211.5,1205.9,1157.4,94.7,94.8,87.4,402.9,411.4,406.2,947.6,948.6,889.7,932.2,940.0,892.0,617.6,623.2,460.9,254.3,255.5,233.5,819.8,822.9,785.8
Illinois,Bloomington(1),93.2,92.6,87.5,–,–,–,2.8,2.9,2.8,3.4,3.7,3.3,14.4,14.1,13.6,0.5,0.5,0.5,19.7,19.7,19.6,9.7,9.8,9.4,11.0,10.9,10.5,11.8,11.0,8.6,3.6,3.5,3.3,16.4,16.6,15.8
Illinois,Carbondale-Marion(2),57.7,58.2,54.9,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,16.9,17.2,16.7
Illinois,Champaign-Urbana(1),113.6,115.3,112.4,–,–,–,3.6,3.8,3.7,7.6,7.8,7.5,16.7,16.7,16.1,2.3,2.0,1.8,4.8,4.9,4.6,9.3,9.6,9.7,15.4,16.1,16.3,11.8,12.1,9.8,3.3,3.2,3.2,38.8,39.1,39.5
Illinois,Chicago-Naperville-Elgin,4730.5,4759.1,4404.7,1.6,1.8,1.7,178.9,180.7,168.0,420.1,419.9,398.4,949.1,949.2,907.6,77.7,78.4,73.5,311.1,318.3,315.2,834.0,837.7,782.5,728.6,735.4,699.0,487.9,494.4,358.9,194.4,195.3,177.3,547.2,548.0,522.6
Illinois,Danville(1),27.4,27.3,26.0,–,–,–,0.6,0.6,0.6,4.9,5.0,4.6,6.9,6.7,6.5,0.1,0.1,0.1,1.1,1.1,1.1,2.0,2.0,2.0,2.7,2.6,2.6,2.2,2.2,1.9,1.1,1.2,1.1,5.7,5.8,5.5
Illinois,Davenport-Moline-Rock Island(1)(3),186.1,186.5,174.2,–,–,–,10.0,10.0,9.4,24.0,23.9,22.6,37.3,37.6,36.1,1.6,1.5,1.4,7.3,7.4,7.2,25.4,25.4,23.6,28.2,27.9,25.9,18.9,19.0,15.8,7.4,7.6,7.5,26.0,26.1,24.7
Illinois,Decatur(1),51.8,50.6,47.1,–,–,–,3.1,3.1,3.1,11.1,11.1,10.6,10.6,10.2,9.9,0.4,0.4,0.3,1.9,1.9,1.9,2.7,2.4,2.3,8.8,8.5,7.7,5.1,4.9,4.0,2.3,2.3,2.1,5.8,5.8,5.3
Illinois,Kankakee(1),45.3,45.9,42.9,–,–,–,1.3,1.4,1.3,6.8,7.3,7.2,10.0,9.6,9.0,0.4,0.4,0.3,1.4,1.5,1.4,4.9,5.2,5.1,8.8,8.7,8.2,4.1,4.3,3.4,1.7,1.6,1.5,5.8,5.9,5.5
Illinois,Peoria(1),172.7,171.2,160.3,–,–,–,7.5,7.7,7.6,23.5,23.3,21.3,32.0,31.4,30.3,2.0,1.9,1.6,7.1,7.1,7.1,22.6,22.6,21.0,31.6,31.1,30.9,18.1,17.6,13.9,7.7,7.8,7.4,20.6,20.7,19.1
Illinois,Rockford(1),153.0,150.6,138.6,–,–,–,5.4,5.5,5.1,32.9,31.9,28.9,29.8,30.1,28.6,1.6,1.6,1.2,5.3,5.0,4.8,15.2,13.3,12.1,24.3,24.9,24.1,14.5,14.6,11.5,8.5,8.6,7.8,15.6,15.3,14.6
Illinois,Springfield(1),109.7,108.3,101.4,–,–,–,3.9,3.7,3.6,3.4,3.3,3.2,17.1,16.4,15.7,2.4,2.6,2.0,6.4,6.4,6.2,11.2,10.7,10.0,21.1,21.5,20.6,11.0,10.7,8.3,6.6,6.2,5.8,26.7,26.9,26.1
Indiana,Total,3138.7,3159.9,2986.7,6.2,6.1,5.3,141.1,145.9,144.1,542.3,541.1,505.1,597.7,601.0,588.9,29.4,28.8,25.7,139.6,142.4,140.2,342.8,346.6,326.0,472.0,480.6,462.9,310.4,313.9,264.4,126.1,127.8,111.6,431.1,425.6,412.4
Indiana,Bloomington(1),77.7,79.0,74.8,–,–,–,2.7,3.0,3.2,9.0,9.6,9.5,10.2,9.9,9.5,1.1,1.0,0.9,3.0,2.9,3.0,5.2,5.5,5.3,10.0,10.7,10.8,8.8,8.8,7.1,2.4,2.5,2.0,25.3,25.0,23.5
Indiana,Columbus(1),52.9,53.1,49.5,–,–,–,1.8,1.8,1.7,19.9,20.1,18.5,7.9,7.7,7.4,0.3,0.3,0.3,1.5,1.5,1.5,5.7,5.7,4.9,4.4,4.4,4.3,4.1,4.1,3.6,1.4,1.5,1.4,6.1,6.1,5.9
Indiana,Elkhart-Goshen(1),142.1,137.5,128.8,–,–,–,3.9,4.2,4.0,71.1,66.2,61.7,20.0,20.2,19.5,0.4,0.4,0.4,3.0,3.2,3.1,11.0,10.3,9.3,12.1,12.2,11.5,7.8,7.8,6.6,4.2,4.3,4.2,8.7,8.7,8.5
Indiana,Evansville(1),161.3,161.3,150.5,–,–,–,10.6,10.2,9.5,23.5,23.4,21.9,31.2,31.0,29.8,1.8,1.9,1.7,5.4,5.6,5.7,20.0,20.3,18.2,28.5,28.6,27.6,16.2,16.3,13.9,7.7,7.7,6.5,16.5,16.4,15.8
Indiana,Fort Wayne(1),224.8,227.9,215.3,–,–,–,11.2,11.5,11.6,36.9,38.0,34.5,43.4,44.0,43.0,2.6,2.4,2.1,12.0,12.1,12.1,21.9,22.2,21.2,42.1,42.3,41.7,21.2,21.7,18.4,11.9,12.6,10.4,21.5,21.1,20.3
Indiana,Indianapolis-Carmel-Anderson,1073.8,1093.3,1044.6,0.7,0.7,0.7,51.1,53.8,55.3,92.0,94.2,89.8,226.0,228.8,224.5,13.7,13.6,12.1,69.8,71.9,70.8,171.6,173.2,165.6,160.7,164.4,160.4,109.2,110.9,90.6,45.9,45.9,39.8,133.1,136.2,135.0
Indiana,Kokomo(1),40.7,39.8,37.5,–,–,–,1.1,1.2,1.3,11.7,11.3,10.9,6.7,6.6,6.3,0.2,0.2,0.2,1.2,1.2,1.2,–,–,–,–,–,–,4.5,4.5,3.8,1.8,2.0,1.8,4.9,4.7,4.4
Indiana,Lafayette-West Lafayette(1),106.0,106.3,98.8,–,–,–,3.5,3.8,3.8,19.2,19.8,18.5,14.7,14.6,13.9,0.8,0.8,0.6,3.5,3.3,3.2,8.1,8.0,7.1,12.7,13.3,13.2,10.1,10.2,8.8,4.6,4.5,4.1,28.9,28.1,25.5
Indiana,Michigan City-La Porte(1),41.1,41.4,39.3,–,–,–,2.1,2.0,2.0,7.8,8.1,7.7,8.2,8.1,8.0,0.2,0.2,0.2,1.2,1.3,1.2,2.9,2.8,2.6,5.6,5.7,5.6,5.4,5.5,4.6,1.3,1.2,1.1,6.4,6.5,6.2
Indiana,Muncie(1),50.7,50.3,47.5,–,–,–,1.7,1.8,1.6,4.2,4.1,3.4,8.8,8.6,8.3,0.3,0.3,0.3,2.3,2.3,2.2,–,–,–,9.2,9.2,9.2,5.3,5.4,4.7,1.8,1.9,1.8,12.2,11.5,11.1
Indiana,South Bend-Mishawaka(1),144.9,146.6,134.1,–,–,–,5.7,6.0,5.5,17.7,17.3,15.7,25.7,26.0,24.9,1.4,1.4,1.2,5.8,6.1,5.9,13.8,14.3,13.4,39.1,39.7,35.5,14.9,14.8,12.2,6.0,6.2,5.1,14.8,14.9,14.5
Indiana,Terre Haute(1),68.3,67.6,63.8,–,–,–,3.8,3.7,3.6,10.6,10.0,9.0,12.4,12.4,12.3,0.6,0.5,0.5,2.5,2.5,2.4,4.7,4.5,3.9,11.9,12.1,11.8,7.6,7.6,6.6,2.9,2.8,2.4,11.3,11.5,11.3
Iowa,Total,1583.6,1587.2,1506.3,2.5,2.4,2.3,77.3,78.1,76.8,222.6,226.1,216.6,312.5,310.6,300.8,22.1,21.3,19.1,110.0,110.1,109.4,139.6,139.6,134.5,235.0,236.1,222.2,143.9,144.4,117.8,57.5,58.1,54.7,260.6,260.6,252.1
Iowa,Ames(2),53.5,53.0,50.6,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,21.4,21.0,20.7
Iowa,Cedar Rapids(1),145.2,146.1,136.8,–,–,–,8.1,8.1,8.0,19.8,20.4,19.4,32.0,32.0,30.3,3.9,3.5,3.1,10.8,11.4,11.2,15.3,15.0,14.2,21.2,21.6,20.4,12.3,12.3,9.9,5.1,5.1,4.8,16.7,16.6,15.5
Iowa,Des Moines-West Des Moines(1),370.2,374.1,356.9,–,–,–,20.4,20.4,20.7,20.8,21.2,20.4,69.4,69.5,66.9,6.8,6.6,6.2,56.3,56.3,56.9,49.5,50.4,49.3,53.0,53.9,50.3,36.5,37.1,29.1,13.0,13.7,12.8,44.6,44.9,44.4
Iowa,Dubuque(2),60.6,60.7,57.5,–,–,–,–,–,–,–,–,–,12.4,12.4,12.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.8,4.8,4.6
Iowa,Iowa City(2),101.3,101.3,95.5,–,–,–,–,–,–,–,–,–,16.8,16.7,16.0,–,–,–,–,–,–,6.4,6.2,6.0,–,–,–,10.4,10.2,7.9,–,–,–,39.3,40.0,39.3
Iowa,Sioux City(2),88.2,88.5,84.3,–,–,–,–,–,–,17.5,17.9,17.4,19.1,19.0,18.3,–,–,–,–,–,–,7.8,8.0,7.7,–,–,–,8.3,8.2,7.1,–,–,–,10.7,10.7,10.3
Iowa,Waterloo-Cedar Falls(2),90.9,90.9,85.8,–,–,–,–,–,–,16.7,16.6,15.8,17.4,17.5,17.1,–,–,–,4.8,4.9,4.8,6.8,6.6,6.4,14.3,14.7,13.7,7.9,7.8,6.7,–,–,–,14.4,14.0,13.0
Kansas,Total,1415.7,1423.8,1358.6,6.8,6.7,5.9,61.6,63.6,63.4,166.9,170.6,159.0,268.8,267.1,259.7,18.7,18.2,16.9,77.3,77.7,77.0,177.7,176.0,169.1,199.9,202.9,197.9,129.4,130.0,110.3,51.0,51.5,48.5,257.7,259.4,250.9
Kansas,Lawrence(2),53.1,53.1,48.7,–,–,–,–,–,–,–,–,–,7.6,7.4,7.0,–,–,–,–,–,–,5.3,5.2,5.2,5.7,5.8,5.4,7.1,7.1,5.4,–,–,–,15.9,15.6,14.9
Kansas,Manhattan(2),42.6,42.3,39.2,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,13.7,13.3,12.3
Kansas,Topeka(1),112.1,111.5,107.1,–,–,–,5.6,5.4,5.4,7.8,8.1,8.0,17.1,16.7,16.7,1.4,1.3,1.2,7.9,7.5,7.0,13.4,12.8,12.3,18.6,19.2,18.7,8.8,8.8,7.4,4.9,4.8,4.6,26.7,26.9,26.0
Kansas,Wichita(1),299.5,306.1,287.5,–,–,–,16.6,16.9,16.9,52.4,54.9,46.5,50.7,50.6,48.3,4.2,3.9,3.6,11.4,11.8,11.8,34.7,35.7,34.0,45.0,46.8,46.9,32.6,33.1,28.7,10.4,10.5,10.2,41.6,41.9,40.7
Kentucky,Total,1930.4,1945.4,1835.4,10.1,10.2,7.5,78.0,80.5,77.8,251.6,252.2,235.7,403.4,404.8,394.9,22.0,21.7,20.3,93.2,93.8,92.8,217.2,216.2,206.8,278.3,285.8,274.3,198.1,201.8,165.6,65.7,66.7,61.5,313.0,311.6,298.3
Kentucky,Bowling Green(1),76.9,77.2,71.7,–,–,–,3.2,3.4,3.3,12.9,12.9,12.1,14.0,14.0,13.6,–,–,–,–,–,–,9.5,9.6,8.7,10.8,11.2,11.0,9.0,9.2,7.2,–,–,–,12.0,11.8,11.3
Kentucky,Elizabethtown-Fort Knox(1),56.4,56.5,52.3,–,–,–,1.9,2.0,1.9,8.1,8.1,7.3,9.2,9.3,8.9,–,–,–,–,–,–,5.5,5.3,4.9,5.0,5.2,5.0,5.8,6.0,5.1,–,–,–,15.4,15.3,14.7
Kentucky,Lexington-Fayette(1),276.4,279.0,264.2,–,–,–,12.9,13.9,13.5,30.8,30.3,28.3,51.7,52.0,50.0,2.8,2.7,2.5,9.9,10.0,9.8,38.0,37.7,37.8,36.5,37.0,34.7,31.8,32.4,25.7,9.8,10.1,9.5,52.3,53.0,52.5
Kentucky,Louisville/Jefferson County(1),670.7,674.6,635.7,–,–,–,29.9,29.7,28.0,82.7,83.1,78.5,149.6,151.1,149.4,9.2,9.0,8.3,46.1,46.9,47.2,87.4,87.0,81.1,95.3,97.3,93.4,69.6,70.5,55.3,25.8,25.9,23.4,75.2,74.1,71.1
Kentucky,Owensboro(1),53.0,53.2,49.8,–,–,–,2.5,2.7,2.3,8.6,8.9,8.6,10.1,10.1,9.5,0.3,0.4,0.3,3.7,3.5,3.4,4.7,4.5,4.1,9.6,9.7,9.5,5.1,5.1,4.3,1.8,1.7,1.4,6.7,6.7,6.3
Louisiana,Total,1990.6,1993.6,1837.3,36.7,36.7,30.8,152.0,142.1,120.6,135.7,137.9,131.5,381.2,379.4,360.1,22.9,22.5,18.2,93.9,94.3,89.5,213.1,216.2,204.0,315.4,321.6,310.2,236.4,237.6,188.7,73.5,74.0,65.6,330.0,331.2,318.0
Louisiana,Alexandria(2),62.0,62.1,59.5,–,–,–,–,–,–,–,–,–,11.1,11.1,10.8,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,13.8,13.8,13.5
Louisiana,Baton Rouge,412.0,413.0,383.7,0.9,1.0,0.9,54.8,49.8,41.1,29.7,30.2,29.2,70.8,71.1,67.5,5.2,5.1,4.5,18.4,18.5,17.1,47.7,49.3,47.6,53.6,54.5,52.1,40.1,40.2,33.1,16.7,17.0,15.0,74.2,76.4,75.7
Louisiana,Hammond(2),45.9,46.3,45.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,11.8,11.9,11.5
Louisiana,Houma-Thibodaux,87.1,87.4,81.9,6.6,6.4,5.2,4.9,4.8,4.3,–,–,–,22.7,22.8,21.8,–,–,–,–,–,–,–,–,–,–,–,–,8.0,8.2,7.4,–,–,–,12.4,12.3,10.8
Louisiana,Lafayette,203.8,205.2,191.0,12.9,13.6,10.8,9.8,9.3,9.3,15.6,16.3,14.5,42.3,41.8,39.7,2.4,2.4,2.1,11.0,11.2,10.4,21.8,21.8,21.1,32.1,32.8,31.8,21.5,21.2,18.5,7.1,7.2,6.6,27.4,27.6,26.2
